SeqId,NussinovFolderFolding Tns,
seq_60_28,628900,
seq_60_29,793500,
seq_60_30,767400,
seq_60_31,752300,
seq_60_32,611500,
seq_60_33,556300,
seq_60_34,801200,
seq_60_35,669800,
seq_60_36,706500,
seq_60_37,622300,
seq_60_38,597900,
seq_60_39,622100,
seq_60_40,613500,
seq_60_41,744600,
seq_60_42,607400,
seq_60_43,590300,
seq_60_44,610900,
seq_60_45,611700,
seq_60_46,787000,
seq_60_47,1656800,
seq_60_48,705200,
seq_60_49,690600,
seq_60_50,1468200,
seq_60_51,861100,
seq_60_52,618300,
seq_60_53,657100,
seq_60_54,618600,
seq_60_55,599200,
seq_60_56,632900,
seq_60_57,625600,
seq_60_58,632000,
seq_60_59,613200,
seq_60_60,604900,
seq_60_61,1844700,
seq_60_62,607600,
seq_60_63,611900,
seq_60_64,616300,
seq_60_65,638900,
seq_60_66,633500,
seq_60_67,635600,
seq_60_68,607800,
seq_60_69,716900,
seq_60_70,460500,
seq_60_71,429000,
seq_60_72,458500,
seq_60_73,413900,
seq_60_74,484300,
seq_60_75,396900,
seq_60_76,407100,
seq_60_77,597100,
seq_60_78,442900,
seq_60_79,415500,
seq_60_80,481500,
seq_60_81,411800,
seq_60_82,384700,
seq_60_83,635800,
seq_60_84,564700,
seq_60_85,426800,
seq_60_86,701900,
seq_60_87,673200,
seq_60_88,604500,
seq_60_89,595600,
seq_60_90,585400,
seq_60_91,610500,
seq_60_92,569000,
seq_60_93,823900,
seq_60_94,681700,
seq_60_95,591700,
seq_60_96,609300,
seq_60_97,794900,
seq_60_98,652400,
seq_60_99,657900,
seq_70_0,980100,
seq_70_1,996100,
seq_70_2,959700,
seq_70_3,976200,
seq_70_4,1047800,
seq_70_5,935300,
seq_70_6,980500,
seq_70_7,969100,
seq_70_8,889900,
seq_70_9,1145600,
seq_70_10,987000,
seq_70_11,1011000,
seq_70_12,1012600,
seq_70_13,955200,
seq_70_14,950000,
seq_70_15,1086200,
seq_70_16,976500,
seq_70_17,943600,
seq_70_18,923300,
seq_70_19,892000,
seq_70_20,886700,
seq_70_21,1004600,
seq_70_22,871100,
seq_70_23,935900,
seq_70_24,986200,
seq_70_25,980100,
seq_70_26,1232700,
seq_70_27,919900,
seq_70_28,888800,
seq_70_29,877100,
seq_70_30,923800,
seq_70_31,866000,
seq_70_32,907800,
seq_70_33,884400,
seq_70_34,895600,
seq_70_35,880100,
seq_70_36,877300,
seq_70_37,884600,
seq_70_38,865900,
seq_70_39,898800,
seq_70_40,890800,
seq_70_41,945000,
seq_70_42,850400,
seq_70_43,880100,
seq_70_44,863600,
seq_70_45,829800,
seq_70_46,596400,
seq_70_47,606700,
seq_70_48,593500,
seq_70_49,689900,
seq_70_50,622800,
seq_70_51,644600,
seq_70_52,918000,
seq_70_53,922300,
seq_70_54,891100,
seq_70_55,852900,
seq_70_56,967700,
seq_70_57,956300,
seq_70_58,929000,
seq_70_59,922800,
seq_70_60,920600,
seq_70_61,940400,
seq_70_62,936500,
seq_70_63,903700,
seq_70_64,919000,
seq_70_65,924500,
seq_70_66,890400,
seq_70_67,911300,
seq_70_68,939900,
seq_70_69,917100,
seq_70_70,933600,
seq_70_71,626300,
seq_70_72,845400,
seq_70_73,1155500,
seq_70_74,911100,
seq_70_75,994400,
seq_70_76,892100,
seq_70_77,909200,
seq_70_78,920900,
seq_70_79,897700,
seq_70_80,916200,
seq_70_81,880600,
seq_70_82,962500,
seq_70_83,914700,
seq_70_84,1789400,
seq_70_85,1152200,
seq_70_86,931200,
seq_70_87,1019700,
seq_70_88,1010800,
seq_70_89,1120000,
seq_70_90,961600,
seq_70_91,938300,
seq_70_92,893900,
seq_70_93,933000,
seq_70_94,1426400,
seq_70_95,931500,
seq_70_96,906900,
seq_70_97,1231300,
seq_70_98,961000,
seq_70_99,973500,
seq_80_0,1783700,
seq_80_1,1338800,
seq_80_2,1280500,
seq_80_3,1395000,
seq_80_4,1530300,
seq_80_5,1310300,
seq_80_6,1295700,
seq_80_7,1922500,
seq_80_8,1256100,
seq_80_9,1122800,
seq_80_10,836100,
seq_80_11,855200,
seq_80_12,841400,
seq_80_13,893700,
seq_80_14,810400,
seq_80_15,849800,
seq_80_16,788900,
seq_80_17,823900,
seq_80_18,844100,
seq_80_19,847200,
seq_80_20,820900,
seq_80_21,2314900,
seq_80_22,1165300,
seq_80_23,1284400,
seq_80_24,2270000,
seq_80_25,1668400,
seq_80_26,1339700,
seq_80_27,1397800,
seq_80_28,1358000,
seq_80_29,1344500,
seq_80_30,1511800,
seq_80_31,1869900,
seq_80_32,1347000,
seq_80_33,1344100,
seq_80_34,1371500,
seq_80_35,1284000,
seq_80_36,1629100,
seq_80_37,1341600,
seq_80_38,1316000,
seq_80_39,1910400,
seq_80_40,2789300,
seq_80_41,1451500,
seq_80_42,1331600,
seq_80_43,5436200,
seq_80_44,2242900,
seq_80_45,2677200,
seq_80_46,2412500,
seq_80_47,1368400,
seq_80_48,1279700,
seq_80_49,1299100,
seq_80_50,1585600,
seq_80_51,2791600,
seq_80_52,1776500,
seq_80_53,3182300,
seq_80_54,1333100,
seq_80_55,1313000,
seq_80_56,1400700,
seq_80_57,1276800,
seq_80_58,1642300,
seq_80_59,1348300,
seq_80_60,1373600,
seq_80_61,1283000,
seq_80_62,1338000,
seq_80_63,1301100,
seq_80_64,1525100,
seq_80_65,1407900,
seq_80_66,1358300,
seq_80_67,2813700,
seq_80_68,1435200,
seq_80_69,1721500,
seq_80_70,1486700,
seq_80_71,3533100,
seq_80_72,1482400,
seq_80_73,1622900,
seq_80_74,1302400,
seq_80_75,1248600,
seq_80_76,1204400,
seq_80_77,1538800,
seq_80_78,1404000,
seq_80_79,1384800,
seq_80_80,1634900,
seq_80_81,1622900,
seq_80_82,1873300,
seq_80_83,1362000,
seq_80_84,1311600,
seq_80_85,1525200,
seq_80_86,1283800,
seq_80_87,1774100,
seq_80_88,1578600,
seq_80_89,4730500,
seq_80_90,10473100,
seq_80_91,1389200,
seq_80_92,2360300,
seq_80_93,1364200,
seq_80_94,1876500,
seq_80_95,1613900,
seq_80_96,8652700,
seq_80_97,1888500,
seq_80_98,1649400,
seq_80_99,2816800,
seq_90_0,1891300,
seq_90_1,2375700,
seq_90_2,2059800,
seq_90_3,5356400,
seq_90_4,2016400,
seq_90_5,1880500,
seq_90_6,2713000,
seq_90_7,2521000,
seq_90_8,1851400,
seq_90_9,3270200,
seq_90_10,3388300,
seq_90_11,2221300,
seq_90_12,2288500,
seq_90_13,12262000,
seq_90_14,2515800,
seq_90_15,2547200,
seq_90_16,1971900,
seq_90_17,1898100,
seq_90_18,2644200,
seq_90_19,2603400,
seq_90_20,2264900,
seq_90_21,1899900,
seq_90_22,2331600,
seq_90_23,1922200,
seq_90_24,2154000,
seq_90_25,2737200,
seq_90_26,1886600,
seq_90_27,2325200,
seq_90_28,2457700,
seq_90_29,2180200,
seq_90_30,1880900,
seq_90_31,3737800,
seq_90_32,1814200,
seq_90_33,2389800,
seq_90_34,2750800,
seq_90_35,2286600,
seq_90_36,2460500,
seq_90_37,2071300,
seq_90_38,9829300,
seq_90_39,2697300,
seq_90_40,2412000,
seq_90_41,2067000,
seq_90_42,1803700,
seq_90_43,2798900,
seq_90_44,2110100,
seq_90_45,2599000,
seq_90_46,8648800,
seq_90_47,2690600,
seq_90_48,2808900,
seq_90_49,4111600,
seq_90_50,6642300,
seq_90_51,1846000,
seq_90_52,1787600,
seq_90_53,1317900,
seq_90_54,1669100,
seq_90_55,1766600,
seq_90_56,1218700,
seq_90_57,1266700,
seq_90_58,1207600,
seq_90_59,1187400,
seq_90_60,1616300,
seq_90_61,1344000,
seq_90_62,1446800,
seq_90_63,1136400,
seq_90_64,1264300,
seq_90_65,1357500,
seq_90_66,1965600,
seq_90_67,1931700,
seq_90_68,1175600,
seq_90_69,1211100,
seq_90_70,1543600,
seq_90_71,1655500,
seq_90_72,1712900,
seq_90_73,1723100,
seq_90_74,1727400,
seq_90_75,1621500,
seq_90_76,1734100,
seq_90_77,1235000,
seq_90_78,1153800,
seq_90_79,2329500,
seq_90_80,1764900,
seq_90_81,2201500,
seq_90_82,1726000,
seq_90_83,2293900,
seq_90_84,1713500,
seq_90_85,1737600,
seq_90_86,1696600,
seq_90_87,1934000,
seq_90_88,1237700,
seq_90_89,1185600,
seq_90_90,1146200,
seq_90_91,1129000,
seq_90_92,1921300,
seq_90_93,1607900,
seq_90_94,1737300,
seq_90_95,2390000,
seq_90_96,1640900,
seq_90_97,1934000,
seq_90_98,1787400,
seq_90_99,1780300,
seq_100_0,2521600,
seq_100_1,2582500,
seq_100_2,3225000,
seq_100_3,5627600,
seq_100_4,2539200,
seq_100_5,1466100,
seq_100_6,2828000,
seq_100_7,1590200,
seq_100_8,1534900,
seq_100_9,1493600,
seq_100_10,1484500,
seq_100_11,1709200,
seq_100_12,2193300,
seq_100_13,2633700,
seq_100_14,2447700,
seq_100_15,2440500,
seq_100_16,2382600,
seq_100_17,2447800,
seq_100_18,2309500,
seq_100_19,2657000,
seq_100_20,2422900,
seq_100_21,2478100,
seq_100_22,2727600,
seq_100_23,2460700,
seq_100_24,2465100,
seq_100_25,3226300,
seq_100_26,3085300,
seq_100_27,2719700,
seq_100_28,1715700,
seq_100_29,2059500,
seq_100_30,1812900,
seq_100_31,1511200,
seq_100_32,1931500,
seq_100_33,1471800,
seq_100_34,1653700,
seq_100_35,1604100,
seq_100_36,1461900,
seq_100_37,1526200,
seq_100_38,1528700,
seq_100_39,2476600,
seq_100_40,2448100,
seq_100_41,2433300,
seq_100_42,2390800,
seq_100_43,2388700,
seq_100_44,2463100,
seq_100_45,2361900,
seq_100_46,2278400,
seq_100_47,3580900,
seq_100_48,2929300,
seq_100_49,2277900,
seq_100_50,2384500,
seq_100_51,2414800,
seq_100_52,2412900,
seq_100_53,2288000,
seq_100_54,1503200,
seq_100_55,1528900,
seq_100_56,1489200,
seq_100_57,2392100,
seq_100_58,3021500,
seq_100_59,2311100,
seq_100_60,2294600,
seq_100_61,2261100,
seq_100_62,2365700,
seq_100_63,3814000,
seq_100_64,2313200,
seq_100_65,2567000,
seq_100_66,2397500,
seq_100_67,2324100,
seq_100_68,3540000,
